,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,TotalPrice
147,1,3,9203,3373,2707,1286,1082,526,18177
148,1,3,5924,584,542,4052,283,434,11819
149,1,3,31812,1433,1651,800,113,1440,37249
150,1,3,16225,1825,1765,853,170,1067,21905
151,1,3,1289,3328,2022,531,255,1774,9199
152,1,3,18840,1371,3135,3001,352,184,26883
153,1,3,3463,9250,2368,779,302,1627,17789
154,1,3,622,55,137,75,7,8,904
157,1,3,17773,1366,2474,3378,811,418,26220
161,1,3,12434,540,283,1092,3,2233,16585
162,1,3,15177,2024,3810,2665,232,610,24518
168,1,3,5809,735,803,1393,79,429,9248
169,1,3,5414,717,2155,2399,69,750,11504
174,1,3,286,1208,5241,2515,153,1442,10845
176,1,3,45640,6958,6536,7368,1532,230,68264
177,1,3,12759,7330,4533,1752,20,2631,29025
178,1,3,11002,7075,4945,1152,120,395,24689
179,1,3,3157,4888,2500,4477,273,2165,17460
183,1,3,36847,43950,20170,36534,239,47943,185683
184,1,3,327,918,4710,74,334,11,6374
185,1,3,8170,6448,1139,2181,58,247,18243
186,1,3,3009,521,854,3470,949,727,9530
190,1,3,16936,6250,1981,7332,118,64,32681
191,1,3,13624,295,1381,890,43,84,16317
192,1,3,5509,1461,2251,547,187,409,10364
194,1,3,7107,1012,2974,806,355,1142,13396
195,1,3,17023,5139,5230,7888,330,1755,37365
196,1,1,30624,7209,4897,18711,763,2876,65080
198,1,1,11686,2154,6824,3527,592,697,25480
199,1,1,9670,2280,2112,520,402,347,15331
202,1,1,25203,11487,9490,5065,284,6854,58383
203,1,1,583,685,2216,469,954,18,4925
204,1,1,1956,891,5226,1383,5,1328,10789
206,1,1,6373,780,950,878,288,285,9554
210,1,1,18567,1895,1393,1801,244,2100,26000
212,1,1,7291,1012,2062,1291,240,1775,13671
217,1,1,18044,1475,2046,2532,130,1158,25385
219,1,1,4155,367,1390,2306,86,130,8434
220,1,1,14755,899,1382,1765,56,749,19606
222,1,1,5041,1115,2856,7496,256,375,17139
223,2,1,2790,2527,5265,5612,788,1360,18342
224,1,1,7274,659,1499,784,70,659,10945
225,1,1,12680,3243,4157,660,761,786,22287
227,1,1,4042,2204,1563,2286,263,689,11047
228,1,1,1869,577,572,950,4762,203,8933
229,1,1,8656,2746,2501,6845,694,980,22422
230,2,1,11072,5989,5615,8321,955,2137,34089
232,1,1,25962,1780,3838,638,284,834,33336
233,1,1,964,4984,3316,937,409,7,10617
234,1,1,15603,2703,3833,4260,325,2563,29287
236,1,1,8635,820,3047,2312,415,225,15454
237,1,1,18692,3838,593,4634,28,1215,29000
238,1,1,7363,475,585,1112,72,216,9823
239,1,1,47493,2567,3779,5243,828,2253,62163
240,1,1,22096,3575,7041,11422,343,2564,47041
241,1,1,24929,1801,2475,2216,412,1047,32880
242,1,1,18226,659,2914,3752,586,578,26715
246,1,1,8885,2428,1777,1777,430,610,15907
247,1,1,13569,346,489,2077,44,659,17184
248,1,1,15671,5279,2406,559,562,572,25049
249,1,1,8040,3795,2070,6340,918,291,21454
250,1,1,3191,1993,1799,1730,234,710,9657
252,1,1,6623,1860,4740,7683,205,1693,22804
253,1,1,29526,7961,16966,432,363,1391,56639
255,1,1,31614,489,1495,3242,111,615,37566
256,1,1,11092,5008,5249,453,392,373,22567
257,1,1,8475,1931,1883,5004,3593,987,21873
258,1,1,56083,4563,2124,6422,730,3321,73243
259,1,1,53205,4959,7336,3012,967,818,70297
260,1,1,9193,4885,2157,327,780,548,17890
261,1,1,7858,1110,1094,6818,49,287,17216
262,1,1,23257,1372,1677,982,429,655,28372
267,1,1,20893,1222,2576,3975,737,3628,33031
269,1,1,15218,258,1138,2516,333,204,19667
270,1,1,4720,1032,975,5500,197,56,12480
271,1,1,2083,5007,1563,1120,147,1550,11470
272,1,1,514,8323,6869,529,93,1040,17368
273,1,3,36817,3045,1493,4802,210,1824,48191
274,1,3,894,1703,1841,744,759,1153,7094
275,1,3,680,1610,223,862,96,379,3850
276,1,3,27901,3749,6964,4479,603,2503,46199
277,1,3,9061,829,683,16919,621,139,28252
278,1,3,11693,2317,2543,5845,274,1409,24081
280,1,3,3366,2884,2431,977,167,1104,10929
282,1,3,49063,3965,4252,5970,1041,1404,65695
283,1,3,25767,3613,2013,10303,314,1384,43394
284,1,3,68951,4411,12609,8692,751,2406,97820
285,1,3,40254,640,3600,1042,436,18,45990
286,1,3,7149,2247,1242,1619,1226,128,13611
287,1,3,15354,2102,2828,8366,386,1027,30063
288,1,3,16260,594,1296,848,445,258,19701
289,1,3,42786,286,471,1388,32,22,44985
290,1,3,2708,2160,2642,502,965,1522,10499
291,1,3,6022,3354,3261,2507,212,686,16042
292,1,3,2838,3086,4329,3838,825,1060,15976
294,1,2,21273,2013,6550,909,811,1854,33410
296,1,2,19087,1304,3643,3045,710,898,28687
299,1,2,444,879,2060,264,290,259,4196
307,1,2,17327,2374,2842,1149,351,925,24968
308,1,2,6987,1020,3007,416,257,656,12343
310,1,2,7034,1492,2405,12569,299,1117,24916
311,1,2,29635,2335,8280,3046,371,117,43784
313,1,2,9784,925,2405,4447,183,297,18041
314,1,2,10617,1795,7647,1483,857,1233,23632
316,1,2,7127,1375,2201,2679,83,1059,14524
318,1,2,11800,2713,3558,2121,706,51,20949
320,1,2,1774,3696,2280,514,275,834,9373
321,1,2,9155,1897,5167,2714,228,1113,20274
322,1,2,15881,713,3315,3703,1470,229,25311
323,1,2,13360,944,11593,915,1679,573,29064
324,1,2,25977,3587,2464,2369,140,1092,35629
325,1,2,32717,16784,13626,60869,1272,5609,130877
326,1,2,4414,1610,1431,3498,387,834,12174
327,1,2,542,899,1664,414,88,522,4129
328,1,2,16933,2209,3389,7849,210,1534,32124
329,1,2,5113,1486,4583,5127,492,739,17540
330,1,2,9790,1786,5109,3570,182,1043,21480
332,1,2,22321,3216,1447,2208,178,2602,31972
334,2,2,16823,928,2743,11559,332,3486,35871
336,1,2,13970,1511,1330,650,146,778,18385
337,1,2,9351,1347,2611,8170,442,868,22789
338,1,2,3,333,7021,15601,15,550,23523
339,1,2,2617,1188,5332,9584,573,1942,21236
344,1,3,3043,1172,1763,2234,217,379,8808
348,1,3,3428,2380,2028,1341,1184,665,11026
350,1,3,3521,1099,1997,1796,173,995,9581
352,1,3,608,1106,1533,830,90,195,4362
354,1,3,14039,7393,2548,6386,1333,2341,34040
355,1,3,190,727,2012,245,184,127,3485
356,1,3,22686,134,218,3157,9,548,26752
358,1,3,759,18664,1660,6114,536,4100,31833
359,1,3,796,5878,2109,340,232,776,10131
360,1,3,19746,2872,2006,2601,468,503,28196
361,1,3,4734,607,864,1206,159,405,7975
362,1,3,2121,1601,2453,560,179,712,7626
363,1,3,4627,997,4438,191,1335,314,11902
364,1,3,2615,873,1524,1103,514,468,7097
366,1,3,9561,2217,1664,1173,222,447,15284
367,1,3,3477,894,534,1457,252,342,6956
368,1,3,22335,1196,2406,2046,101,558,28642
369,1,3,6211,337,683,1089,41,296,8657
370,2,3,39679,3944,4955,1364,523,2235,52700
371,1,3,20105,1887,1939,8164,716,790,33601
372,1,3,3884,3801,1641,876,397,4829,15428
374,1,3,6338,2256,1668,1492,311,686,12751
375,1,3,5841,1450,1162,597,476,70,9596
377,1,3,38793,3154,2648,1034,96,1242,46967
378,1,3,3225,3294,1902,282,68,1114,9885
380,1,3,28257,944,2146,3881,600,270,36098
381,1,3,17770,4591,1617,9927,246,532,34683
383,1,3,1821,1364,3450,4006,397,361,11399
384,1,3,10683,21858,15400,3635,282,5120,56978
385,1,3,11635,922,1614,2583,192,1068,18014
386,1,3,1206,3620,2857,1945,353,967,10948
387,1,3,20918,1916,1573,1960,231,961,27559
388,1,3,9785,848,1172,1677,200,406,14088
389,1,3,9385,1530,1422,3019,227,684,16267
390,1,3,3352,1181,1328,5502,311,1000,12674
391,1,3,2647,2761,2313,907,95,1827,10550
392,1,3,518,4180,3600,659,122,654,9733
393,1,3,23632,6730,3842,8620,385,819,44028
394,1,3,12377,865,3204,1398,149,452,18445
395,1,3,9602,1316,1263,2921,841,290,16233
397,1,3,11535,1666,1428,6838,64,743,22274
398,1,3,11442,1032,582,5390,74,247,18767
399,1,3,9612,577,935,1601,469,375,13569
400,1,3,4446,906,1238,3576,153,1014,11333
401,1,3,27167,2801,2128,13223,92,1902,47313
402,1,3,26539,4753,5091,220,10,340,36953
403,1,3,25606,11006,4604,127,632,288,42263
404,1,3,18073,4613,3444,4324,914,715,32083
405,1,3,6884,1046,1167,2069,593,378,12137
406,1,3,25066,5010,5026,9806,1092,960,46960
411,1,3,2126,3289,3281,1535,235,4365,14831
413,1,3,4983,4859,6633,17866,912,2435,37688
414,1,3,5969,1990,3417,5679,1135,290,18480
419,1,3,8861,3783,2223,633,1580,1521,18601
422,1,3,26400,1377,4172,830,948,1218,34945
423,2,3,17565,3686,4657,1059,1803,668,29438
425,1,3,11243,2408,2593,15348,108,1886,33586
427,1,3,31012,16687,5429,15082,439,1163,69812
428,1,3,3047,5970,4910,2198,850,317,17292
429,1,3,8607,1750,3580,47,84,2501,16569
430,1,3,3097,4230,16483,575,241,2080,26706
431,1,3,8533,5506,5160,13486,1377,1498,35560
432,1,3,21117,1162,4754,269,1328,395,29025
433,1,3,1982,3218,1493,1541,356,1449,10039
435,1,3,29703,12051,16027,13135,182,2204,73302
436,1,3,39228,1431,764,4510,93,2346,48372
438,1,3,10290,1981,2232,1038,168,2125,17834
439,1,3,2787,1698,2510,65,477,52,7589
